"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Paź. '18","1,570","1,600","1,450","1,550","-1,87%"
"Wrz. '18","1,600","1,460","1,450","1,600","1,27%"
"Sie. '18","1,580","1,650","1,350","1,570","-4,24%"
"Lip. '18","1,650","1,630","1,450","1,590","1,23%"
"Cze. '18","1,630","1,400","1,420","1,600","16,43%"
"Maj '18","1,400","1,420","1,350","1,400","-3,45%"
"Kwi. '18","1,450","1,410","1,450","1,500","3,57%"
"Mar. '18","1,400","1,590","1,400","1,560","-9,09%"
"Luty '18","1,540","1,550","1,430","1,510","0,65%"
"Sty. '18","1,530","1,460","1,450","1,430","-2,55%"
"Gru. '17","1,570","1,650","1,450","1,460","-4,85%"
"Lis. '17","1,650","1,470","1,460","1,460","17,86%"
"Paź. '17","1,400","1,460","1,460","1,410","-0,71%"
"Wrz. '17","1,410","1,300","1,210","1,410","8,46%"
"Sie. '17","1,300","1,440","1,460","1,370","-10,34%"
"Lip. '17","1,450","1,440","1,470","1,410","-1,36%"
"Cze. '17","1,470","1,550","1,500","1,480","5,00%"
"Maj '17","1,400","1,400","1,540","1,550","-0,71%"
"Kwi. '17","1,410","1,400","1,500","1,450","-2,76%"
"Mar. '17","1,450","1,500","1,470","1,410","2,84%"
"Luty '17","1,410","1,450","1,500","1,450","0,00%"
"Sty. '17","1,410","1,450","1,500","1,770","0,71%"
"Gru. '16","1,400","1,450","1,470","1,410","-3,45%"
"Lis. '16","1,450","1,400","1,470","1,460","-1,36%"
"Paź. '16","1,470","1,450","1,470","1,450","0,68%"
"Wrz. '16","1,460","1,450","1,450","1,440","-1,35%"
"Sie. '16","1,480","1,480","1,500","1,440","2,07%"
"Lip. '16","1,450","1,750","1,490","1,440","-17,14%"
"Cze. '16","1,750","1,350","1,420","1,720","26,81%"
"Maj '16","1,380","1,420","1,420","1,380","-3,50%"
"Kwi. '16","1,430","1,280","1,380","1,300","12,60%"
"Mar. '16","1,270","1,090","1,350","1,300","-5,93%"
"Luty '16","1,350","1,390","1,390","1,300","-4,93%"
"Sty. '16","1,420","1,440","1,420","1,400","-2,74%"
"Gru. '15","1,460","1,480","1,350","1,450","0,69%"
"Lis. '15","1,450","1,390","1,480","1,450","-0,68%"
"Paź. '15","1,460","1,510","1,500","1,450","-0,68%"
"Wrz. '15","1,470","1,460","1,490","1,450","1,38%"
"Sie. '15","1,450","1,440","1,490","1,460","0,00%"
"Lip. '15","1,450","1,450","1,490","1,450","-1,36%"
"Cze. '15","1,470","1,340","1,470","1,450","1,38%"
"Maj '15","1,450","1,500","1,460","1,430","-3,33%"
"Kwi. '15","1,500","1,410","1,500","1,420","3,45%"
"Mar. '15","1,450","1,680","1,460","1,650","-16,18%"
"Luty '15","1,730","1,810","1,800","1,800","-1,14%"
"Sty. '15","1,750","1,870","1,840","1,850","29,63%"
"Gru. '14","1,350","1,850","1,880","1,860","-28,19%"
"Lis. '14","1,880","1,780","1,800","1,850","4,44%"
"Paź. '14","1,800","2,150","1,860","2,150","-18,55%"
"Wrz. '14","2,210","2,470","2,280","2,360","-7,92%"
"Sie. '14","2,400","2,500","2,500","2,400","-0,41%"
"Lip. '14","2,410","2,450","2,500","2,400","-3,60%"
"Cze. '14","2,500","2,420","2,470","2,400","4,17%"
"Maj '14","2,400","2,400","2,460","2,380","-0,83%"
"Kwi. '14","2,420","2,450","2,470","2,380","0,83%"
"Mar. '14","2,400","2,420","2,460","2,380","0,84%"
"Luty '14","2,380","2,410","2,460","2,370","-1,24%"
"Sty. '14","2,410","2,410","2,470","2,360","-0,41%"
"Gru. '13","2,420","2,400","2,500","2,370","5,22%"
"Lis. '13","2,300","2,400","2,490","2,370","-3,36%"
"Paź. '13","2,380","2,350","2,490","2,370","7,21%"
"Wrz. '13","2,220","2,350","2,470","2,300","-2,63%"
"Sie. '13","2,280","2,450","2,510","2,300","-1,30%"
"Lip. '13","2,310","2,500","2,530","2,380","-2,94%"
"Cze. '13","2,380","2,870","2,660","2,700","-12,82%"
"Maj '13","2,730","2,950","2,860","2,810","-4,21%"
"Kwi. '13","2,850","3,160","3,110","3,100","-7,17%"
"Mar. '13","3,070","3,600","3,250","3,580","-14,01%"
"Luty '13","3,570","3,950","3,680","3,780","-6,30%"
"Sty. '13","3,810","4,080","3,950","3,980","-6,62%"
"Gru. '12","4,080","4,150","4,150","4,150","-5,34%"
"Lis. '12","4,310","4,800","4,500","4,500","-4,65%"
"Paź. '12","4,520","4,950","4,670","4,650","-3,83%"
"Wrz. '12","4,700","4,950","4,750","4,650","0,00%"
"Sie. '12","4,700","4,800","4,750","4,700","3,30%"
"Lip. '12","4,550","5,000","4,750","4,700","-3,60%"
"Cze. '12","4,720","4,750","4,750","4,700","-4,07%"
"Maj '12","4,920","4,450","4,550","4,700","4,68%"
"Kwi. '12","4,700","4,400","4,550","4,350","4,44%"
"Mar. '12","4,500","4,500","4,560","4,300","-4,26%"
"Luty '12","4,700","4,600","4,570","4,300","0,00%"
"Sty. '12","4,700","4,580","4,610","4,520","-2,08%"
"Gru. '11","4,800","4,300","4,650","4,530","1,05%"
"Lis. '11","4,750","4,450","4,580","4,510","0,85%"
"Paź. '11","4,710","4,250","4,530","4,450","1,51%"
"Wrz. '11","4,640","4,450","4,460","4,410","0,87%"
"Sie. '11","4,600","4,000","4,450","4,400","0,22%"
"Lip. '11","4,590","4,050","4,450","4,400","0,00%"
"Cze. '11","4,590","4,170","4,200","4,370","5,28%"
"Maj '11","4,360","3,880","3,920","4,000","1,40%"
"Kwi. '11","4,300","3,790","3,800","3,600","9,97%"
"Mar. '11","3,910","3,730","3,750","3,640","1,56%"
"Luty '11","3,850","3,670","3,700","3,630","-0,52%"
"Sty. '11","3,870","3,470","3,500","3,600","6,91%"
"Gru. '10","3,620","3,400","3,450","3,400","0,56%"
"Lis. '10","3,600","3,440","3,440","3,400","0,00%"
"Paź. '10","3,600","3,440","3,450","3,400","0,00%"
"Wrz. '10","3,600","3,440","3,440","3,360","0,00%"
"Sie. '10","3,600","3,410","3,420","3,380","0,00%"
"Lip. '10","3,600","3,440","3,430","3,400","-1,91%"
"Cze. '10","3,670","3,450","3,460","3,400","1,10%"
"Maj '10","3,630","3,430","3,450","3,390","0,00%"
"Kwi. '10","3,630","3,440","3,450","3,370","1,11%"
"Mar. '10","3,590","3,410","3,460","3,390","-1,37%"
"Luty '10","3,640","3,420","3,450","3,390","-0,27%"
"Sty. '10","3,650","3,660","3,620","3,400","-2,67%"
"Gru. '09","3,750","3,340","3,510","3,510","6,23%"
"Lis. '09","3,530","3,350","3,500","3,320","0,28%"
"Paź. '09","3,520","3,360","3,490","3,300","-0,85%"
"Wrz. '09","3,550","3,320","3,480","3,300","2,01%"
"Sie. '09","3,480","3,420","3,480","3,310","-1,97%"
"Lip. '09","3,550","3,640","3,450","3,450","-4,05%"
"Cze. '09","3,700","3,930","3,700","3,760","-6,57%"
"Maj '09","3,960","3,540","3,800","3,750","7,32%"
"Kwi. '09","3,690","3,540","3,570","3,400","-0,27%"
"Mar. '09","3,700","4,010","3,700","3,900","-10,84%"
"Luty '09","4,150","4,330","4,150","4,180","-7,78%"
"Sty. '09","4,500","5,410","4,500","5,320","-18,92%"
"Gru. '08","5,550","6,100","5,500","6,030","-12,60%"
"Lis. '08","6,350","6,350","6,260","6,300","-2,31%"
"Paź. '08","6,500","6,160","6,400","6,300","0,00%"